,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,総取引における距離の平均,2000.0,合算地,18000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,13,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Buren,2500,309801,2,4
,Ford,Hoover,1000,115201,1,6
,Clinton,Fillmore,1500,348001,1,1
,Obama,Reagan,1500,45800,2,7
,Polk,Adams,2000,336001,1,2
,Tyler,Pierce,3500,312801,1,1
,Garfield,Washington,4500,33801,4,9
,Cleveland,Madison,2500,33801,1,8
,Mckinley,Monroe,1000,302401,4,5
,総取引における距離の平均,2222.0,合算地,20000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,10,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Clinton,1500,108001,3,6
,Hoover,Eisenhower,1500,257500,2,2
,Carter,Polk,2500,302401,1,7
,Washington,Polk,4000,97001,3,7
,Madison,Roosevelt,2000,26401,1,9
,Monroe,Truman,2000,108001,1,5
,Buren,Taylor,3000,94401,4,8
,Hayes,Garfield,2500,218701,1,3
,総取引における距離の平均,2375.0,合算地,19000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,6,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Truman,Obama,2500,257501,3,3
,Polk,Hayes,3000,336001,1,1
,Fillmore,Carter,1500,168000,1,4
,Taylor,Coolidge,3000,264801,2,2
,総取引における距離の平均,2500.0,合算地,10000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,4,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Coolidge,Arthur,1500,74800,1,1
,総取引における距離の平均,1500.0,合算地,1500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,9,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Buchanan,2500,108000,1,2
,Arthur,Grant,2500,309801,1,1
,総取引における距離の平均,2500.0,合算地,5000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,7,買いたい家の数,10,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Obama,Jefferson,2500,45801,4,6
,Jackson,Johnson,4000,198000,1,3
,Buchanan,Tyler,3000,247901,1,2
,Lincoln,Bush,3000,108001,2,4
,Grant,Ford,2500,74801,1,5
,Garfield,Roosevelt,3500,33801,6,7
,Harrison,Kennedy,3500,309801,1,1
,総取引における距離の平均,3142.0,合算地,22000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,15,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Garfield,2500,245001,3,3
,Kennedy,Jackson,3500,94401,2,1
,Reagan,Monroe,2000,69800,2,6
,Ford,Lincoln,2000,115201,1,1
,Jefferson,Hayes,2500,45801,2,7
,Madison,Buren,1500,26401,2,8
,Tyler,Harrison,1500,312801,1,1
,Mckinley,Cleveland,1000,302401,1,2
,総取引における距離の平均,2062.0,合算地,16500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,9,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Pierce,2500,158801,1,3
,Nixson,Madison,2000,309801,1,1
,Taft,Obama,500,193301,1,4
,Hoover,Mckinley,2500,257501,1,2
,Monroe,Washington,1500,108001,1,6
,Buren,Polk,1500,94401,2,7
,Cleveland,Taylor,4000,33801,5,8
,総取引における距離の平均,2071.0,合算地,14500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,5,買いたい家の数,9,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Polk,Hoover,2000,336001,1,1
,Fillmore,Eisenhower,2500,168000,1,5
,Taylor,Nixson,3500,264801,3,3
,Pierce,Taft,2500,309801,2,2
,Hayes,Reagan,3500,218701,4,4
,総取引における距離の平均,2800.0,合算地,14000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,6,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Washington,Arthur,4000,97000,1,1
,総取引における距離の平均,4000.0,合算地,4000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,10,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Garfield,2500,2,4,4
,Buchanan,Fillmore,2500,2,1,1
,Grant,Lincoln,500,2,2,4
,Arthur,Harrison,1000,2,1,1
,総取引における距離の平均,1625.0,合算地,6500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,11,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Grant,4500,2,5,9
,Reagan,Jefferson,1000,2,7,8
,Carter,Clinton,2000,2,3,7
,Adams,Coolidge,500,2,5,7
,Madison,Ford,1000,2,4,7
,Lincoln,Grant,500,2,1,9
,Garfield,Buchanan,4000,2,2,3
,Harrison,Jackson,1000,2,3,4
,総取引における距離の平均,1812.0,合算地,14500,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,3.0
