,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,総取引における距離の平均,2222.0,合算地,20000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,16,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Truman,Jackson,2500,257501,3,4
,Ford,Taylor,1500,115201,1,1
,Clinton,Harrison,2500,348001,1,1
,Obama,Coolidge,500,45801,1,10
,Adams,Grant,1500,232701,6,6
,Buren,Washington,2500,94401,8,9
,Pierce,Polk,4000,309801,1,1
,Buchanan,Hoover,1500,247900,4,5
,Lincoln,Jefferson,1500,108001,8,8
,Mckinley,Cleveland,1000,302401,3,3
,総取引における距離の平均,1900.0,合算地,19000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,9,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Hoover,Nixson,1000,257501,3,4
,Carter,Roosevelt,1500,302401,1,2
,Jefferson,Kennedy,2000,45800,1,6
,Taylor,Truman,1000,264801,1,3
,Grant,Bush,3500,74801,3,5
,Cleveland,Reagan,2000,33801,1,7
,Harrison,Obama,2000,309801,1,1
,総取引における距離の平均,1857.0,合算地,13000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,4,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Eisenhower,1000,94401,1,4
,Roosevelt,Johnson,1000,108000,1,3
,Nixson,Garfield,1500,309801,1,2
,Tyler,Carter,2000,312801,1,1
,総取引における距離の平均,1375.0,合算地,5500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,4,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Tyler,2000,69800,1,1
,Garfield,Arthur,500,33801,2,2
,総取引における距離の平均,1250.0,合算地,2500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,7,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Arthur,Hayes,2000,309800,1,1
,総取引における距離の平均,2000.0,合算地,2000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,9,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Truman,Jackson,2500,257501,2,3
,Coolidge,Adams,500,74800,5,5
,Pierce,Buchanan,500,309801,1,1
,Hayes,Madison,2000,218701,4,4
,Mckinley,Buren,1000,302401,2,2
,総取引における距離の平均,1300.0,合算地,6500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,17,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Coolidge,1500,108000,3,6
,Clinton,Pierce,3500,348001,1,1
,Adams,Cleveland,1500,232701,2,4
,Madison,Jefferson,500,26401,2,8
,Jackson,Grant,500,198001,3,5
,Buren,Fillmore,500,94401,2,7
,Buchanan,Mckinley,2000,247901,1,1
,Harrison,Lincoln,2000,309801,1,2
,総取引における距離の平均,1500.0,合算地,12000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,15,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Carter,Monroe,1000,302401,1,2
,Jefferson,Clinton,3000,45800,2,6
,Tyler,Washington,3500,312801,1,1
,Fillmore,Harrison,1000,168001,1,3
,Lincoln,Polk,3000,108001,1,1
,Grant,Taylor,2000,74801,2,1
,Cleveland,Obama,1500,33801,2,7
,総取引における距離の平均,2142.0,合算地,15000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,8,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Bush,1000,309800,1,2
,Obama,Hoover,1000,45801,2,6
,Washington,Truman,500,97001,1,5
,Monroe,Ford,1500,108001,3,4
,Polk,Tyler,500,336001,1,1
,Taylor,Carter,2000,264801,2,3
,Garfield,Reagan,3000,33801,4,7
,総取引における距離の平均,1357.0,合算地,9500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,7,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Hoover,Arthur,2000,257501,1,1
,Ford,Garfield,3500,115200,2,2
,総取引における距離の平均,2750.0,合算地,5500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,8,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Hayes,3500,2,3,3
,Truman,Pierce,1500,2,1,3
,Arthur,Mckinley,1500,2,1,2
,総取引における距離の平均,2166.0,合算地,6500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,12,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Coolidge,Adams,500,2,1,5
,Jackson,Buchanan,1500,2,3,5
,Hayes,Buren,1500,2,2,2
,Mckinley,Madison,1500,2,3,3
,総取引における距離の平均,1250.0,合算地,5000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
