,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,売りたい家の数,10,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Truman,1500,245001,1,3
,Jefferson,Madison,500,45801,3,6
,Polk,Mckinley,2500,336001,1,1
,Buchanan,Taylor,1000,247901,1,2
,Lincoln,Adams,1000,108001,2,5
,Hayes,Hoover,3000,218700,1,4
,Garfield,Carter,3000,33801,5,7
,総取引における距離の平均,1785.0,合算地,12500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,8,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Coolidge,1000,69801,1,5
,Nixson,Taft,500,309801,1,1
,Hoover,Jackson,2000,257501,1,1
,Adams,Lincoln,1000,232701,3,3
,Madison,Kennedy,2500,26400,1,6
,Buren,Bush,2500,94401,3,4
,総取引における距離の平均,1583.0,合算地,9500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,7,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Ford,1000,108001,5,5
,Taft,Buren,2000,193301,3,4
,Coolidge,Reagan,1000,74801,5,6
,Jackson,Truman,2500,198001,1,1
,Tyler,Eisenhower,2000,312800,1,1
,Pierce,Nixson,3000,309801,1,2
,総取引における距離の平均,1916.0,合算地,11500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,8,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Grant,4000,158801,2,2
,Truman,Cleveland,3000,257501,1,1
,Ford,Pierce,1000,115200,3,3
,総取引における距離の平均,2666.0,合算地,8000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,11,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Harrison,3500,94401,1,2
,Monroe,Mckinley,1000,108001,1,1
,Grant,Arthur,2500,74801,1,3
,Cleveland,Taylor,4000,33800,4,4
,総取引における距離の平均,2750.0,合算地,11000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,8,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Clinton,Polk,500,348001,1,1
,Taylor,Washington,500,264801,5,5
,Buchanan,Kennedy,3000,247900,1,6
,Garfield,Carter,3000,33801,2,7
,Arthur,Lincoln,3000,309801,1,1
,Harrison,Tyler,1500,309801,2,3
,Mckinley,Monroe,1000,302401,4,4
,総取引における距離の平均,1785.0,合算地,12500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,10,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Hoover,Fillmore,1000,257501,1,3
,Carter,Buchanan,1000,302401,2,7
,Obama,Buren,1500,45801,2,6
,Washington,Nixson,3000,97000,1,5
,Madison,Buchanan,500,26401,2,7
,Polk,Garfield,500,336001,1,1
,Lincoln,Jefferson,1500,108001,2,4
,総取引における距離の平均,1285.0,合算地,9000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,10,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Taft,1500,108001,2,6
,Reagan,Tyler,2000,69801,7,8
,Nixson,Hayes,4000,309801,1,1
,Jackson,Obama,2000,198001,4,4
,Fillmore,Coolidge,500,168001,4,5
,Buren,Hoover,1500,94401,2,7
,Buchanan,Madison,500,247901,3,3
,総取引における距離の平均,1714.0,合算地,12000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,6,買いたい家の数,7,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Coolidge,Reagan,1000,74801,4,5
,Adams,Johnson,3000,232700,2,3
,Jefferson,Roosevelt,1500,45801,6,6
,Tyler,Jackson,1500,312801,1,1
,Pierce,Ford,1000,309801,1,1
,Hayes,Clinton,3500,218701,2,4
,総取引における距離の平均,1916.0,合算地,11500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,8,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Grant,4000,158801,2,2
,Taft,Cleveland,2000,193301,1,1
,Ford,Pierce,1000,115200,3,3
,総取引における距離の平均,2333.0,合算地,7000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,5,買いたい家の数,9,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taylor,Garfield,5000,2,2,5
,Arthur,Eisenhower,2500,2,2,4
,Cleveland,Adams,1500,2,2,2
,Mckinley,Clinton,3000,2,1,3
,総取引における距離の平均,3000.0,合算地,12000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,7,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Polk,1500,2,1,7
,Carter,Johnson,2500,2,4,6
,Clinton,Mckinley,3000,2,1,1
,Obama,Truman,2500,2,1,5
,Monroe,Harrison,1500,2,3,7
,Grant,Arthur,2500,2,3,3
,Garfield,Taylor,5000,2,4,3
,総取引における距離の平均,2642.0,合算地,18500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
