,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,総取引における距離の平均,2000.0,合算地,16000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,14,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Carter,Monroe,1000,302401,3,5
,Obama,Truman,2500,45801,3,7
,Jefferson,Washington,500,45801,3,8
,Polk,Taft,1500,336001,1,1
,Tyler,Ford,2500,312801,1,2
,Pierce,Grant,1500,309801,1,9
,Cleveland,Grant,2000,33801,5,9
,Harrison,Fillmore,1000,309801,2,4
,Mckinley,Monroe,1000,302401,3,6
,総取引における距離の平均,1500.0,合算地,13500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,10,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Ford,Nixson,2000,115200,1,2
,Washington,Jefferson,500,97001,2,4
,Madison,Polk,3000,26401,4,6
,Monroe,Coolidge,1000,108001,1,1
,Fillmore,Arthur,1000,168001,1,1
,Grant,Tyler,2000,74801,4,5
,総取引における距離の平均,1583.0,合算地,9500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,5,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Roosevelt,500,158801,3,3
,Coolidge,Kennedy,2000,74800,4,4
,Jackson,Reagan,2500,198001,2,2
,Arthur,Madison,3000,309801,1,1
,総取引における距離の平均,2000.0,合算地,8000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,5,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Hayes,5000,245001,2,2
,Kennedy,Eisenhower,1000,94400,4,4
,Roosevelt,Jackson,3000,108001,3,3
,Reagan,Truman,1000,69801,5,5
,Clinton,Bush,1500,348001,1,1
,総取引における距離の平均,2300.0,合算地,11500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,6,買いたい家の数,7,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Hoover,Clinton,1500,257501,2,3
,Truman,Garfield,4000,257501,1,2
,Buren,Johnson,3500,94400,6,6
,Taylor,Adams,2500,264801,1,1
,Lincoln,Kennedy,3500,108001,1,5
,Hayes,Buchanan,1500,218701,2,4
,総取引における距離の平均,2750.0,合算地,16500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,9,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Cleveland,2500,108001,3,5
,Adams,Taylor,2500,232701,3,4
,Pierce,Tyler,3500,309801,1,1
,Buchanan,Lincoln,500,247901,2,3
,Garfield,Jefferson,4000,33800,1,6
,総取引における距離の平均,2600.0,合算地,13000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,9,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Carter,Washington,1500,302401,1,3
,Jefferson,Madison,500,45801,1,6
,Tyler,Pierce,3500,312801,1,1
,Fillmore,Hoover,1000,168000,1,4
,Grant,Polk,2500,74801,1,5
,Cleveland,Ford,2500,33801,6,7
,Harrison,Buren,500,309801,1,2
,総取引における距離の平均,1714.0,合算地,12000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,7,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Fillmore,2000,309801,2,2
,Ford,Arthur,3000,115201,2,3
,Obama,Monroe,1500,45801,2,6
,Coolidge,Jackson,1500,74801,2,5
,Washington,Grant,2500,97001,4,4
,Madison,Carter,500,26400,4,7
,Polk,Harrison,2000,336001,1,1
,総取引における距離の平均,1857.0,合算地,13000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,8,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Obama,2000,245001,1,2
,Reagan,Mckinley,3000,69801,3,5
,Monroe,Clinton,2000,108001,4,4
,Jackson,Coolidge,1500,198001,2,3
,総取引における距離の平均,2125.0,合算地,8500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,7,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Nixson,2000,108001,2,5
,Clinton,Lincoln,2500,348001,1,4
,Arthur,Hoover,2000,309801,2,2
,Mckinley,Taft,3000,302401,3,3
,総取引における距離の平均,2375.0,合算地,9500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,8,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Buchanan,2000,2,1,4
,Hoover,Buren,1500,2,2,2
,Lincoln,Adams,1000,2,3,3
,Garfield,Truman,4000,2,3,4
,総取引における距離の平均,2125.0,合算地,8500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,7,買いたい家の数,9,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Truman,Harrison,2500,2,1,1
,Carter,Roosevelt,1500,2,6,6
,Adams,Garfield,2500,2,2,2
,Buren,Taylor,3000,2,3,3
,Pierce,Fillmore,3000,2,4,4
,Buchanan,Reagan,2000,2,5,7
,Cleveland,Reagan,2000,2,7,7
,総取引における距離の平均,2357.0,合算地,16500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,4.0
